ogc_fid,id,cd_mun,nm_mun,sigla_uf,area_km2,mean,min,max,sum,std,median
222,317.0,3528106,Macaubal,SP,248.087,0.0,0.0,0.0,0.0,0.0,0.0
223,318.0,3528205,MacedÃ´nia,SP,327.567,0.0,0.0,0.0,0.0,0.0,0.0
224,319.0,3528304,Magda,SP,312.282,0.0,0.0,0.0,0.0,0.0,0.0
225,320.0,3528403,Mairinque,SP,210.149,0.0,0.0,0.0,0.0,0.0,0.0
226,321.0,3528502,MairiporÃ£,SP,320.697,0.0,0.0,0.0,0.0,0.0,0.0
227,322.0,3528601,Manduri,SP,229.046,0.0,0.0,0.0,0.0,0.0,0.0
228,323.0,3528700,MarabÃ¡ Paulista,SP,919.519,0.0,0.0,0.0,0.0,0.0,0.0
229,324.0,3528809,MaracaÃ­,SP,533.498,0.0,0.0,0.0,0.0,0.0,0.0
230,166.0,3514924,ElisiÃ¡rio,SP,93.98,0.0,0.0,0.0,0.0,0.0,0.0
231,167.0,3514957,EmbaÃºba,SP,83.129,0.0,0.0,0.0,0.0,0.0,0.0
232,168.0,3515004,Embu das Artes,SP,70.398,0.0,0.0,0.0,0.0,0.0,0.0
233,169.0,3515103,Embu-GuaÃ§u,SP,155.641,0.0,0.0,0.0,0.0,0.0,0.0
234,170.0,3515129,EmilianÃ³polis,SP,225.167,0.0,0.0,0.0,0.0,0.0,0.0
235,349.0,3531100,MongaguÃ¡,SP,142.755,0.0,0.0,0.0,0.0,0.0,0.0
236,350.0,3531209,Monte Alegre do Sul,SP,110.308,0.0,0.0,0.0,0.0,0.0,0.0
237,351.0,3531308,Monte Alto,SP,346.95,0.0,0.0,0.0,0.0,0.0,0.0
238,352.0,3531407,Monte AprazÃ­vel,SP,495.559,0.0,0.0,0.0,0.0,0.0,0.0
239,353.0,3531506,Monte Azul Paulista,SP,263.462,0.0,0.0,0.0,0.0,0.0,0.0
240,354.0,3531605,Monte Castelo,SP,233.547,0.0,0.0,0.0,0.0,0.0,0.0
241,355.0,3531704,Monteiro Lobato,SP,332.742,0.0,0.0,0.0,0.0,0.0,0.0
242,356.0,3531803,Monte Mor,SP,240.566,0.0,0.0,0.0,0.0,0.0,0.0
243,357.0,3531902,Morro Agudo,SP,1388.127,0.0,0.0,0.0,0.0,0.0,0.0
244,358.0,3532009,Morungaba,SP,146.752,0.0,0.0,0.0,0.0,0.0,0.0
245,359.0,3532058,Motuca,SP,228.7,0.0,0.0,0.0,0.0,0.0,0.0
246,360.0,3532108,Murutinga do Sul,SP,250.873,0.0,0.0,0.0,0.0,0.0,0.0
247,171.0,3515152,Engenheiro Coelho,SP,109.941,0.0,0.0,0.0,0.0,0.0,0.0
248,172.0,3515186,EspÃ­rito Santo do Pinhal,SP,389.235,0.0,0.0,0.0,0.0,0.0,0.0
249,361.0,3532157,Nantes,SP,286.647,0.0,0.0,0.0,0.0,0.0,0.0
250,362.0,3532207,Narandiba,SP,357.325,0.0,0.0,0.0,0.0,0.0,0.0
251,363.0,3532306,Natividade da Serra,SP,833.372,0.13402704831932774,0.0,0.2861328125,15.94921875,0.08367501207098176,0.1484375
252,364.0,3532405,NazarÃ© Paulista,SP,326.254,0.0,0.0,0.0,0.0,0.0,0.0
